"original_Location","lat","lon","formatted","district","county_code","city","name","county","state","state_code","country","country_code","confidence","attribution","attribution_license","attribution_url"
"Dunedin",-45.8740984,170.5035755,"Dunedin 9054, New Zealand",,,"Dunedin","Dunedin","Dunedin City","Otago","OTA","New Zealand","nz",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Colombo Harbor",42.298209,9.154845,"Colombo, Corte, France","Corte",,"Corte",,"Haute-Corse","Corsica","COR","France","fr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Palm Beach Shores, Riviera Beach, Singer Island, Palm Beach County",26.777374,-80.034837,"Palm Beach Shores, FL, United States of America",,,"Palm Beach Shores",,"Palm Beach County","Florida","FL","United States","us",0,,,"https://www.whosonfirst.org/docs/licenses/"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Fenwick Island",38.4623346,-75.0512922,"Fenwick Island, DE 19944, United States of America",,,"Fenwick Island",,"Sussex County","Delaware","DE","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"In front of Key Biscayne Beach Club, Key Biscayne",22.458571,89.554744,"Bridge in front of Mosque, -, Bangladesh",,,,,"Khulna","Khulna",,"Bangladesh","bd",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Avalon Beach, near Mandurah, 50 miles south of Perth",43.642856,-73.223988,"Avalon Beach Road, Castleton, VT 05743, United States of America","Castleton",,"Castleton",,"Rutland County","Vermont","VT","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Umvoti",-29.005245000000002,30.66757215304989,"Umvoti Local Municipality, Umzinyathi District Municipality, South Africa",,,"Umvoti Local Municipality",,"Umzinyathi District Municipality","KwaZulu-Natal","NL","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Circeo, Secca del Quadro",41.2223373,13.0685641,"Faro di Capo Circeo, Piazza Antonio Valente, 04017 San Felice Circeo LT, Italy","San Felice Circeo","LT","San Felice Circeo","Faro di Capo Circeo","Latina","Lazio","LAZ","Italy","it",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Matukar village",-4.897252,145.785342,"Matukar, MPM, Papua New Guinea",,,"Matukar","Matukar",,"Madang","MPM","Papua New Guinea","pg",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Jensen Beach, Martin County",27.22089615,-80.25567726584178,"Jensen Beach, Stuart, FL, United States of America","Jensen Beach",,"Stuart","Jensen Beach","Martin County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"St. Lucia",13.8250489,-60.975036,"Saint Lucia",,,,,,,,"Saint Lucia","lc",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"South coast",-12.819233,-50.657067,"South America",,,,"South America",,,,,,1,,,"https://www.whosonfirst.org/docs/licenses/"
"Margate",51.3878174,1.3819699,"Margate, Thanet District, ENG, United Kingdom",,"KEN","Thanet District","Margate","Kent","England","ENG","United Kingdom","gb",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Black’s Beach, 9 miles north of Mackay",34.267919,-77.746686,"9 S Beach Road, Wilmington, NC 28411, United States of America",,,"Wilmington",,"New Hanover County","North Carolina","NC","United States","us",0,"© OpenAddresses contributors","BSD-3-Clause License",
,,,,,,,,,,,,,,,,
"Hermosa Beach, Los Angeles County",33.86428,-118.39591,"Hermosa Beach, CA 90254, United States of America",,,"Hermosa Beach",,"Los Angeles County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Surfer's Paradise",54.4128417,10.2298127,"Surfer's Paradise, Strandstraße 33, 24235 Laboe, Germany",,,"Laboe","Surfer's Paradise","Plön","Schleswig-Holstein","SH","Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"North of Northeast Samoa",-13.63914,-172.438241,"Samoa",,,,"Samoa",,,,"Samoa","ws",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Kieta",-6.2187295,155.6362617,"Kieta, Autonomous Region of Bougainville, Papua New Guinea",,,"Kieta","Kieta",,"Autonomous Region of Bougainville",,"Papua New Guinea","pg",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Fort Pierce, St. Lucie County",27.4467056,-80.3256056,"Fort Pierce, Fort Pierce, FL, United States of America",,,"Fort Pierce",,"Saint Lucie County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kapakapa",21.4295199,-158.0202994,"Kapakapa Way, Mililani Town, HI 96789, United States of America",,,"Mililani Town","Kapakapa Way","Honolulu County","Hawaii","HI","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Pioneer River near Mackay",-21.1449834,148.956028,"Pioneer River, Mackay QLD 4753, Australia",,,"Mackay","Pioneer River",,"Queensland","QLD","Australia","au",,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"½ mile offshore & 9 miles north of Fort Pierce",,,,,,,,,,,,,,,,
"Pacific Grove, Monterey County",36.6211149,-121.917794,"Pacific Grove, CA 93950, United States of America",,,"Pacific Grove",,"Monterey County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"La Jolla, San Diego County",32.8401623,-117.2740777,"La Jolla, San Diego, CA, United States of America",,,"San Diego","La Jolla","San Diego County","California","CA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Junk Bay",22.292258,114.25772363733333,"Junk Bay, Sai Kung District, Hong Kong, China",,,"Sai Kung District","Junk Bay",,"Hong Kong",,"China","cn",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Florida Keys",24.6670875,-81.5831421,"Florida Keys, Monroe County, FL, United States of America",,,,"Florida Keys","Monroe County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Pula",44.8702281,13.8455311,"Grad Pula, Istria County, Croatia",,,"Grad Pula",,"Istria County",,,"Croatia","hr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Cottesloe, Perth",-31.9921125,115.7632414,"Perth Street, Cottesloe WA 6011, Australia",,,,"Perth Street","Town of Cottesloe","Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Lerner Marine Laboratory",41.5256249,-70.6723967,"Marine Biological Laboratory, Marine Biological Lab Street, Falmouth, MA 02543, United States of America","Falmouth",,"Falmouth","Marine Biological Laboratory","Barnstable County","Massachusetts","MA","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Cable Beach",-17.9328115,122.2136937,"Cable Beach, Shire Of Broome, WA, Australia",,,"Shire Of Broome",,,"Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Dar-es-Salaam harbor",48.110331,11.701169,"Dar-es-Salaam-Straße, Munich, Germany","München",,"Munich",,"Munich","Bavaria",,"Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bashamir",,,,,,,,,,,,,,,,
"Southwestern Pacific Base",49.22555,10.72379,"Southwestern Bastion, Wolframs-Eschenbach, Bavaria, Germany","Wolframs-Eschenbach",,"Wolframs-Eschenbach","Southwestern Bastion","Ansbach","Bavaria",,"Germany","de",0,,"CC BY 4.0","https://www.geonames.org/datasources/"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Montauk",41.0347223,-71.9442623,"Montauk, NY 11954, United States of America",,,"Montauk",,"Suffolk County","New York","NY","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Inyoni Rocks, South Coast",-26.382109,28.188105,"Inyoni Street, Ekurhuleni, Moleleki, South Africa","Ekurhuleni",,"Moleleki",,"Ekurhuleni","Gauteng","GT","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Middle Bight",47.51140055,-53.005053747142924,"Middle Bight, Peachytown, Conception Bay South, NL, Canada",,,"Conception Bay South","Middle Bight","Newfoundland","Newfoundland and Labrador","NL","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Kempsey",-31.0798092,152.842289,"Kempsey NSW 2440, Australia",,,"Kempsey",,,"New South Wales","NSW","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Georges Bank",41.2100343,-67.3811084,"Georges Bank",,,,"Georges Bank",,,,,,0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Boca Ciega Bay, Pinellas County",27.805859,-82.7859355,"Boca Ciega Bay, Pinellas County, FL 33708, United States of America",,,,"Boca Ciega Bay","Pinellas County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"off Culebra",52.37745845,9.737825273412698,"Play Off, Kurt-Schumacher-Straße, 30159 Hanover, Germany","Centre",,"Hanover","Play Off","Region Hannover","Lower Saxony",,"Germany","de",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Hamilton Parish",32.3379906,-64.7357556,"Hamilton Parish, Hamilton, Bermuda",,,,"Hamilton Parish","Hamilton",,,"Bermuda","bm",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Elephant Rock, Currumbin near Southport",,,,,,,,,,,,,,,,
"Kowie River Mouth, Port Alfred",-33.459612,26.688601,"Kowie River, Ndlambe, Sarah Baartman District Municipality, South Africa",,,"Ndlambe","Kowie River","Sarah Baartman District Municipality","Eastern Cape","EC","South Africa","za",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Key West, Monroe County",24.5625566,-81.7724368,"Key West, FL, United States of America",,,"Key West",,"Monroe County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"San Stefano",45.4401467,4.3873058,"Saint-Étienne, Loire, France",,,"Saint-Étienne",,"Loire","Auvergne-Rhône-Alpes","ARA","France","fr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bondoc Peninsula",13.5319473,122.3886874,"Bondoc Peninsula National High School, Route 610, Mulanay, 4311 Quezon, Philippines",,,"Mulanay","Bondoc Peninsula National High School",,"Quezon",,"Philippines","ph",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Near Thursday Island",-10.579172,142.220923,"Thursday Island, Torres, Australia","Thursday Island",,"Thursday Island",,"Torres","Queensland","QLD","Australia","au",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Roku Point",52.438386,20.672642,"1918 Roku, Nowy Dwór Mazowiecki, Poland","Nowy Dwór Mazowiecki",,"Nowy Dwór Mazowiecki",,"Nowodworski","Mazowieckie",,"Poland","pl",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Condado Beach, San Juan",30.240979,-81.381542,"San Juan Drive, Ponte Vedra Beach, FL 32250, United States of America",,,"Ponte Vedra Beach","San Juan Drive","Saint Johns County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
,,,,,,,,,,,,,,,,
"Atlantic, near New Bern, Craven County",40.7439485,-74.001512,"Atlantic Theater, West 20th Street, New York, NY 10011, United States of America","Chelsea District",,"New York","Atlantic Theater","New York County","New York","NY","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"50 miles off Bahamas",24.669637,-78.018505,"The Bahamas",,,,"The Bahamas",,,,"The Bahamas","bs",0,,,"https://www.whosonfirst.org/docs/licenses/"
"Spring Lake, Monmouth County",40.1535132,-74.0293941,"Spring Lake, NJ, United States of America",,,"Spring Lake",,"Monmouth County","New Jersey","NJ","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Palm Beach, Palm Beach County",26.7056172,-80.0361517,"Palm Beach, FL, United States of America",,,"Palm Beach",,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"West Palm Beach, Palm Beach County",26.715364,-80.0532942,"West Palm Beach, FL, United States of America",,,"West Palm Beach",,"Palm Beach County","Florida","FL","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Barachois",48.6183877,-64.2753375,"Barachois, Percé, QC, Canada",,,"Percé","Barachois","Le Rocher-Percé","Quebec","QC","Canada","ca",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Noumea",-22.2745264,166.442419,"98800 Noumea, France",,,"Noumea",,"South Province",,,"France","fr",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Pearl Harbor, O'ahu",41.203141,-73.160591,"Pearl Harbor Street, Bridgeport, CT, United States of America","Bridgeport",,"Bridgeport",,"Fairfield County","Connecticut","CT","United States","us",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
"Bunbury",-33.3267797,115.636698,"Bunbury WA 6230, Australia",,,"Bunbury","Bunbury",,"Western Australia","WA","Australia","au",0,"© OpenStreetMap contributors","Open Database License","https://www.openstreetmap.org/copyright"
